1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,3-1,3-2,4-1,4-2,4-3,4-4,5-1,5-2,6-1,7-1
,,,,170.121,,,,360.972,,,487.311,,,,647.611,741.636,
,,,,170.601,,,,361.528,,,487.877,,,,648.022,742.224,
,,,,171.081,,,,362.084,,,488.443,,,,648.433,742.812,
,,,,171.561,,,,362.640,,,489.009,,,,648.844,743.400,
,,,,172.041,,,,363.196,,,489.575,,,,649.255,743.988,
,,,,172.521,,,,363.752,,,490.141,,,,649.666,744.576,
,,,,173.001,,,,364.308,,,490.707,,,,650.077,745.164,
,,,,173.481,,,,364.864,,,491.273,,,,650.488,745.752,
,,,,173.961,,,,365.420,,,491.839,,,,650.899,746.340,
,,,,174.441,,,,365.976,,,492.405,,,,651.310,746.928,
,,,,174.921,,,,366.532,,,492.971,,,,651.721,747.516,
,,,,175.401,,,,367.088,,,493.537,,,,652.132,748.104,
,,,,175.881,,,,367.644,,,494.103,,,,652.543,748.692,
,,,,176.361,,,,368.200,,,494.669,,,,652.954,749.280,
,,,,176.841,,,,368.756,,,495.235,,,,653.365,749.868,
,,,,177.321,,,,369.312,,,495.801,,,,653.776,750.456,
,,,,177.801,,,,369.868,,,496.367,,,,654.187,751.044,
,,,,178.281,,,,370.424,,,496.933,,,,654.598,751.632,
,,,,178.761,,,,370.980,,,497.499,,,,655.009,752.220,
,,,,179.241,,,,371.536,,,,,,,655.420,752.808,
,,,,179.721,,,,372.092,,,,,,,655.831,753.396,
,,,,180.201,,,,372.648,,,,,,,656.242,753.984,
,,,,180.681,,,,373.204,,,,,,,656.653,754.572,
,,,,181.161,,,,373.760,,,,,,,657.064,755.160,
,,,,181.641,,,,374.316,,,,,,,657.475,755.748,
,,,,182.121,,,,374.872,,,,,,,657.886,756.336,
,,,,182.601,,,,375.428,,,,,,,658.297,756.924,
,,,,183.081,,,,375.984,,,,,,,658.708,757.512,
,,,,183.561,,,,376.540,,,,,,,659.119,758.100,
,,,,184.041,,,,377.096,,,,,,,659.530,,
,,,,184.521,,,,377.652,,,,,,,659.941,,
,,,,185.001,,,,378.208,,,,,,,660.352,,
,,,,185.481,,,,378.764,,,,,,,660.763,,
,,,,185.961,,,,,,,,,,,661.174,,
,,,,186.441,,,,,,,,,,,661.585,,
,,,,186.921,,,,,,,,,,,661.996,,
,,,,187.401,,,,,,,,,,,662.407,,
,,,,187.881,,,,,,,,,,,662.818,,
,,,,188.361,,,,,,,,,,,663.229,,
,,,,188.841,,,,,,,,,,,663.640,,
,,,,189.321,,,,,,,,,,,664.051,,
,,,,189.801,,,,,,,,,,,664.462,,
,,,,190.281,,,,,,,,,,,664.873,,
,,,,190.761,,,,,,,,,,,665.284,,
,,,,191.241,,,,,,,,,,,665.695,,
,,,,191.721,,,,,,,,,,,666.106,,
,,,,192.201,,,,,,,,,,,666.517,,
,,,,192.681,,,,,,,,,,,666.928,,
,,,,193.161,,,,,,,,,,,667.339,,
,,,,193.641,,,,,,,,,,,667.750,,
,,,,194.121,,,,,,,,,,,668.161,,
,,,,194.601,,,,,,,,,,,668.572,,
,,,,195.081,,,,,,,,,,,668.983,,
,,,,195.561,,,,,,,,,,,669.394,,
,,,,196.041,,,,,,,,,,,669.805,,
,,,,196.521,,,,,,,,,,,,,
,,,,197.001,,,,,,,,,,,,,
